Format category,Handle,Platform,Niche / register,Current followers (research figure),Social Blade or profile URL,Faceless verification (check on visit),Δ 30 days,30-day views,Last post,Grade,Verdict (growing/flat/declining/dormant),Notes
Aesthetic / mood Reels,@cottagecoredream,Instagram,Cottagecore + slow living curated imagery,~497K,https://socialblade.com/instagram/user/cottagecoredream,Confirm truly faceless curation,,,,,,
Aesthetic / mood Reels,@ourlittlebrickcottage,Instagram,English countryside seasonal storytelling,~366K,https://socialblade.com/instagram/user/ourlittlebrickcottage,Borderline - may show hands/cottage interiors only,,,,,,
Aesthetic / mood Reels,@cottagecorepixie,Instagram,Curated cottagecore gallery,~106K,https://socialblade.com/instagram/user/cottagecorepixie,Confirm curation only,,,,,,
Aesthetic / mood Reels,@the_cottagecore,Instagram,Cottagecore clothes & accessories + slow living,~112K,https://socialblade.com/instagram/user/the_cottagecore,Confirm,,,,,,
Aesthetic / mood Reels,@english.countryside,Instagram,English countryside imagery,(record current),https://socialblade.com/instagram/user/english.countryside,Confirm,,,,,,
Aesthetic / mood Reels,@elysian.living (Victoria),TikTok,Aesthetic lifestyle / bath prep / cosy routines,~1.9M,https://socialblade.com/tiktok/user/elysian.living,Borderline - shows hands/body but no face,,,,,,
Aesthetic / mood Reels,@elysian.living (Victoria),YouTube,Aesthetic lifestyle / cosy routines,~2.2M,https://socialblade.com/youtube/c/elysianliving,Borderline - same as above,,,,,,
Aesthetic / mood Reels,@simplyzenful,TikTok,Peaceful aesthetic location videos / scenic loops,(record current),https://socialblade.com/tiktok/user/simplyzenful,Confirm faceless,,,,,,
Aesthetic / mood Reels,@midwesternmama29 (Monica Brady),TikTok,Cleaning / shopping / aesthetic lifestyle,~4.4M,https://socialblade.com/tiktok/user/midwesternmama29,Borderline - faceless lifestyle vlogging,,,,,,
Aesthetic / mood Reels,@thestockboutique,Instagram,"Faceless aesthetic vertical stock videos and photos",(record current),https://socialblade.com/instagram/user/thestockboutique,Brand-channel stock library,,,,,,
Aesthetic / mood Reels,@theolivetreesandthemoon,Instagram,Rural Iberia stewardship / natural building / growing,(record current),https://socialblade.com/instagram/user/theolivetreesandthemoon,Borderline - may include creators,,,,,,
Aesthetic / mood Reels,@humanswhogrowfood,Instagram,Curated food-growing imagery from around the world,~260K,https://socialblade.com/instagram/user/humanswhogrowfood,Faceless brand-channel curation,,,,,,
POV / mood memes,@cottage.core.designs (Steph),Instagram,AI cottagecore creator,(record current),https://socialblade.com/instagram/user/cottage.core.designs,Faceless AI-image-led,,,,,,
POV / mood memes,(search hashtag #POVcottagecore on TikTok),TikTok,POV cottagecore aesthetic posts,n/a,https://www.tiktok.com/tag/povcottagecore,Note 3-5 top accounts and add rows for each,,,,,,
POV / mood memes,(search hashtag #slowlivingaesthetic on TikTok),TikTok,POV / mood slow-living aesthetic posts,n/a,https://www.tiktok.com/tag/slowlivingaesthetic,Note 3-5 top accounts and add rows for each,,,,,,
POV / mood memes,(search hashtag #cosyaesthetic on Instagram),Instagram,POV / cosy aesthetic Reels,n/a,https://www.instagram.com/explore/tags/cosyaesthetic/,Note 3-5 top accounts and add rows for each,,,,,,
POV / mood memes,(search hashtag #englishcountryside on Instagram),Instagram,POV / countryside aesthetic Reels,n/a,https://www.instagram.com/explore/tags/englishcountryside/,Note 3-5 top accounts and add rows for each,,,,,,
Carousel / slideshow,Bon Appetit,Instagram,"Step-by-step recipe carousels, mouth-watering visuals",(record current),https://socialblade.com/instagram/user/bonappetitmag,Brand-channel publisher,,,,,,
Carousel / slideshow,BuzzFeed Tasty,Instagram,Recipe carousels (video + slide hybrid),(record current),https://socialblade.com/instagram/user/buzzfeedtasty,Brand-channel publisher,,,,,,
Carousel / slideshow,@thefeedfeed (Kristie),Instagram,Curated food carousel feed,(record current),https://socialblade.com/instagram/user/thefeedfeed,Faceless curation,,,,,,
Carousel / slideshow,@crispyegg420 (Bettina Makalintal),Instagram,"Aesthetic food posts, ""no recipes just vibes""",(record current),https://socialblade.com/instagram/user/crispyegg420,Faceless food curation,,,,,,
Carousel / slideshow,@rumbie,Instagram,Curated cake / dessert / table-styling feed,(record current),https://socialblade.com/instagram/user/rumbie,Faceless curation,,,,,,
Carousel / slideshow,(search hashtag #recipecarousel on Instagram),Instagram,Recipe-as-slides accounts,n/a,https://www.instagram.com/explore/tags/recipecarousel/,Note 3-5 top accounts and add rows,,,,,,
Carousel / slideshow,(search hashtag #aestheticrecipe on Instagram),Instagram,Aesthetic recipe slides,n/a,https://www.instagram.com/explore/tags/aestheticrecipe/,Note 3-5 top accounts and add rows,,,,,,
Carousel / slideshow,(search hashtag #cosyrecipes on Instagram),Instagram,Cosy / autumn / winter recipe slide accounts,n/a,https://www.instagram.com/explore/tags/cosyrecipes/,Note 3-5 top accounts and add rows,,,,,,
